ICAO,IATA,Name,Type,Municipality,Country,
FZJF,,Aba Airport,Small airport,Aba,Congo (Kinshasa),
HADR,DIR,Aba Tenna Dejazmach Yilma International Airport,Medium airport,Dire Dawa,Ethiopia,
GQNE,BGH,Abbaye Airport,Small airport,Boghe,Mauritania,
FTTC,AEH,Abeche Airport,Medium airport,Ouaddaï,Chad,
HTZA,ZNZ,Abeid Amani Karume International Airport,Large airport,Zanzibar,Tanzania,
DIAU,OGO,Abengourou Airport,Small airport,Abengourou,Côte d'Ivoire,
FAAE,,Aberdeen Airport,Small airport,Aberdeen,South Africa,
FVAB,,Aberdeen Airport,Small airport,Aberdeen,Zimbabwe,
DIAO,ABO,Aboisso Airport,Small airport,Aboisso,Côte d'Ivoire,
FKAG,,Abong M'bang Airport,Small airport,Abong M'bang,Cameroon,
FBAB,,Abu Airport,Small airport,Abu's Camp,Botswana,
HEBL,ABS,Abu Simbel Airport,Medium airport,Abu Simbel,Egypt,
FZFE,,Abumumbazi Airport,Small airport,Abumumbazi,Congo (Kinshasa),
HAAD,,Adaba Airport,Small airport,Adaba,Ethiopia,
HAAB,ADD,Addis Ababa Bole International Airport,Large airport,Addis Ababa,Ethiopia,
HCMM,MGQ,Aden Adde International Airport,Medium airport,Mogadishu,Somalia,
HUAJ,,Adjumani Airport,Small airport,Adjumani,Uganda,
FIMA,,Agalega Island Airstrip,Small airport,Vingt Cinq,Mauritius,
HL58,,Agedabia Airport,Small airport,,Libya,
FAAG,AGZ,Aggeneys Airport,Medium airport,Aggeneys,South Africa,
HHAG,,Agordat Airport,Small airport,Agordat,Eritrea,
GVAN,NTO,Agostinho Neto Airport,Small airport,Ponta do Sol,Cape Verde,
DAAT,TMR,Aguenar – Hadj Bey Akhamok Airport,Medium airport,Tamanrasset,Algeria,
FYAA,AIW,Ai-Ais Airport,Small airport,Ai-Ais,Namibia,
DAAS,QSF,Ain Arnat Airport,Medium airport,Sétif,Algeria,
DAUU,OGX,Ain el Beida Airport,Medium airport,Ouargla,Algeria,
DAAQ,,Ain Oussera Airport,Small airport,,Algeria,
GQNA,AEO,Aioun el Atrouss Airport,Small airport,Aioun El Atrouss,Mauritania,
FADN,,Air Force Base Durban,Small airport,Durban,South Africa,
DN51,,Ajaokuta Airport,Small airport,,Nigeria,
DNEN,ENU,Akanu Ibiam International Airport,Medium airport,Enegu,Nigeria,
FZKN,,Aketi Airport,Small airport,Aketi,Congo (Kinshasa),
FOGA,AKE,Akieni Airport,Small airport,Akieni,Gabon,
GQNJ,AJJ,Akjoujt Airport,Small airport,Akjoujt,Mauritania,
HSAK,,Akobo Airport,Small airport,Akobo,South Sudan,
DXAK,,Akpaka Airport,Small airport,Atakpamé,Togo,
DNAK,AKR,Akure Airport,Medium airport,Akure,Nigeria,
DNAI,QUO,Akwa Ibom International Airport,Large airport,Uyo,Nigeria,
HL81,,Al Hamada Con 66 East Airport,Small airport,,Libya,
HL69,,Al Jufra Airport,Small airport,,Libya,
HL59,,Al Khadim Airport,Small airport,,Libya,
HL70,,Al Khuwaymat Airport,Small airport,,Libya,
GMAD,AGA,Al Massira Airport,Medium airport,Agadir,Morocco,
HL57,,Al Wigh Airport,Small airport,,Libya,
FAAB,ALJ,Alexander Bay Airport,Medium airport,Alexander Bay,South Africa,
HDAS,AII,Ali-Sabieh Airport,Small airport,Ali-Sabieh,Djibouti,
FEFA,,Alindao Airport,Small airport,Alindao,Central African Republic,
FAAN,,Aliwal North Airport,Small airport,Aliwal North,South Africa,
FACO,,Alkantpan Copper Airport,Small airport,Cooperton,South Africa,
FAAL,ADY,Alldays Airport,Small airport,Alldays,South Africa,
HEAZ,,Almaza Air Force Base,Medium airport,Cairo,Egypt,
FOGW,AWE,Alowe Airport,Small airport,Wonga Wongué Presidential Reserve,Gabon,
FBAL,,Alpha Airfield,Small airport,Lobatse,Botswana,
FSAL,,Alphonse Airport,Small airport,Alphonse Island,Seychelles,
HCMA,ALU,Alula Airport,Small airport,Alula,Somalia,
HLZN,ZIS,Alzintan Airport,Small airport,Zintan,Libya,
FTTN,AMC,Am Timan Airport,Small airport,Am Timan,Chad,
HLAM,,Amal V12 Airport,Small airport,Amal V12,Libya,
HTAG,,Amani Gomvu Airport,Small airport,Kutani,Tanzania,
FMNW,WAI,Ambalabe Airport,Medium airport,Antsohihy,Madagascar,
FMSA,,Ambalavao Airport,Small airport,Ambalavao,Madagascar,
FMNJ,,Ambanja Airport,Small airport,Ambanja,Madagascar,
FMMZ,WAM,Ambatondrazaka Airport,Small airport,Ambatondrazaka,Madagascar,
FMNE,AMB,Ambilobe Airport,Small airport,,Madagascar,
FMFE,OHB,Ambohibary Airport,Small airport,Moramanga,Madagascar,
FMMJ,,Ambohijanahary Airport,Small airport,Ambohijanahary,Madagascar,
FMNM,MJN,Amborovy Airport,Medium airport,Mahajanga,Madagascar,
HKAM,ASV,Amboseli Airport,Medium airport,Amboseli National Park,Kenya,
FNAM,AZZ,Ambriz Airport,Small airport,Ambriz,Angola,
GVAC,SID,Amílcar Cabral International Airport,Large airport,Espargos,Cape Verde,
FYAM,,Aminuis Airstrip,Small airport,Aminuis,Namibia,
FMNZ,IVA,Ampampamena Airport,Small airport,,Madagascar,
FMSY,AMP,Ampanihy Airport,Small airport,Ampanihy,Madagascar,
FMMP,,Amparafaravola Airport,Small airport,Amparafaravola,Madagascar,
FAAM,,Amsterdam Airport,Small airport,Amsterdam,South Africa,
FMNL,HVA,Analalava Airport,Medium airport,Sofia region,Madagascar,
FMND,ZWA,Andapa Airport,Medium airport,Anapa,Madagascar,
FAAF,,Andrew's Field Airport,Small airport,Struisbaai,South Africa,
GMFO,OUD,Angads Airport,Medium airport,Oujda,Morocco,
HKOM,ANA,Angama Airport,Small airport,Maasai Mara,Kenya,
FZKO,,Ango Airport,Small airport,Ango,Congo (Kinshasa),
FQAG,ANO,Angoche Airport,Small airport,Angoche,Mozambique,
FMMK,JVA,Ankavandra Airport,Small airport,Ankavandra,Madagascar,
FMSZ,WAK,Ankazoabo Airport,Small airport,Ankazoabo,Madagascar,
FGAB,NBN,Annobón Airport,Small airport,San Antonio de Palé,Equatorial Guinea,
GAAO,,Ansongo Airport,Small airport,Ansongo,Mali,
FMMA,,Antananarivo Arivonimamo Airport,Small airport,,Madagascar,
FMMG,WAQ,Antsalova Airport,Small airport,Antsalova,Madagascar,
FMNH,ANM,Antsirabato Airport,Medium airport,Antalaha,Madagascar,
FMME,ATJ,Antsirabe Airport,Small airport,Antsirabe,Madagascar,
FMNK,,Antsiranana Andrakaka Airport,Small airport,,Madagascar,
FMSB,WBO,Antsoa Airport,Small airport,Beroroha,Madagascar,
DAAF,,Aoulef Airport,Small airport,Aoulef,Algeria,
FYAR,ADI,Arandis Airport,Medium airport,Arandis,Namibia,
FYAN,,Aranos Airport,Small airport,Aranos,Namibia,
FACC,ASS,Arathusa Safari Lodge Airport,Small airport,Arathusa,South Africa,
HAAM,AMH,Arba Minch Airport,Medium airport,Arba Minch,Ethiopia,
FYAV,,Ariamsvley Airport,Small airport,Ariamsvley,Namibia,
DFOY,XAR,Aribinda Airport,Small airport,Aribinda,Burkina Faso,
DRZL,RLT,Arlit Airport,Small airport,Arlit,Niger,
DFER,ARL,Arly Airport,Small airport,Arly,Burkina Faso,
FYAB,,Aroab B Airport,Small airport,Aroab,Namibia,
FMNA,DIE,Arrachart Airport,Medium airport,Antsiranana,Madagascar,
HKAR,,Arroket Airport,Small airport,Arroket,Kenya,
HUAR,RUA,Arua Airport,Medium airport,Arua,Uganda,
HTAR,ARK,Arusha Airport,Medium airport,Arusha,Tanzania,
DNAS,ABB,Asaba International Airport,Medium airport,Asaba,Nigeria,
FAAS,,Ashton Airport,Small airport,Ashton,South Africa,
FAAK,,Askham Airport,Small airport,Askham,South Africa,
HHAS,ASM,Asmara International Airport,Medium airport,Asmara,Eritrea,
HASO,ASO,Asosa Airport,Medium airport,Asosa,Ethiopia,
HDAG,,Assa-Gueyla Airport,Small airport,Assa-Gueyla,Djibouti,
HHSB,ASA,Assab International Airport,Medium airport,Asab,Eritrea,
HEAT,ATZ,Assiut International Airport,Medium airport,Assiut,Egypt,
FSAS,,Assumption Island Airport,Small airport,Assumption Island,Seychelles,
FSSA,,Astove Island Airport,Small airport,Astove Island,Seychelles,
HESN,ASW,Aswan International Airport,Medium airport,Aswan,Egypt,
GQPA,ATR,Atar International Airport,Medium airport,Atar,Mauritania,
HSAT,ATB,Atbara Airport,Small airport,Atbara,Sudan,
FTTI,ATV,Ati Airport,Small airport,Ati,Chad,
FMMQ,ILK,Atsinanana Airport,Small airport,Ilaka,Madagascar,
FCBU,,Aubeville Airport,Small airport,Aubeville,Congo (Brazzaville),
FYAS,,Aus Airport,Small airport,Aus,Namibia,
FYAK,,Aussenkehr Airport,Small airport,Aussenkehr,Namibia,
FMNF,WBD,Avaratra Airport,Small airport,Befandriana,Madagascar,
FAAP,,Aviators Paradise Field,Small airport,,South Africa,
HALA,AWA,Awassa Airport,Small airport,Awassa,Ethiopia,
HSAW,,Aweil Airport,Small airport,Aweil,South Sudan,
HAAX,AXU,Axum Airport,Medium airport,Tigray,Ethiopia,
HSGF,GSU,Azaza Airport,Small airport,Gedaref,Sudan,
HABC,BCO,Baco Airport,Small airport,Baco,Ethiopia,
GGBF,,Bafatá Airport,Small airport,Bafatá,Guinea-Bissau,
FKAF,,Bafia Airport,Small airport,Bafia,Cameroon,
GABF,,Bafoulabe Airport,Small airport,Bafoulabe,Mali,
FKKU,BFX,Bafoussam Airport,Medium airport,Bafoussam,Cameroon,
FYBG,BQI,Bagani Airport,Small airport,Bagani,Namibia,
HABD,BJR,Bahir Dar Airport,Medium airport,Bahir Dar,Ethiopia,
HCMB,BIB,Baidoa Airport,Small airport,Baidoa,Somalia,
DN54,,Bajoga Northeast Airport,Small airport,Bajoga,Nigeria,
GOTB,BXE,Bakel Airport,Medium airport,Bakel,Senegal,
FEGM,BMF,Bakouma Airport,Small airport,Bakouma,Central African Republic,
HC01,,Baledogle Airfield,Small airport,Wanlaweyn,Somalia,
HKBL,,Balesa Airport,Small airport,Balesa,Kenya,
FKKG,BLC,Bali Airport,Small airport,Bali,Cameroon,
FEFM,BBY,Bambari Airport,Small airport,Bambari,Central African Republic,
FZKB,,Bambili-Dingila Airport,Small airport,Bambili-Dingila,Congo (Kinshasa),
FEGB,,Bambouli Airport,Small airport,Bambouli,Central African Republic,
HKBM,BMQ,Bamburi Airport,Small airport,,Kenya,
FKKV,BPC,Bamenda Airport,Medium airport,Bamenda,Cameroon,
GABD,,Bandiagara Airport,Small airport,Bandiagara,Mali,
FZBO,FDU,Bandundu Airport,Medium airport,Bandundu,Congo (Kinshasa),
DFOB,BNR,Banfora Airport,Small airport,Banfora,Burkina Faso,
FZCI,,Banga Airport,Small airport,Banga,Congo (Kinshasa),
FCPB,,Bangamba Airport,Small airport,Bangamba,Congo (Brazzaville),
FEFG,BGU,Bangassou Airport,Small airport,Bangassou,Central African Republic,
FZIC,FKI,Bangoka International Airport,Medium airport,Kisangani,Congo (Kinshasa),
FEFF,BGF,Bangui M'Poko International Airport,Medium airport,Bangui,Central African Republic,
FWBG,,Bangula Airport,Small airport,Bangula,Malawi,
GBYD,BJL,Banjul International Airport,Medium airport,Banjul,Gambia,
FKAB,,Banyo Airport,Small airport,Banyo,Cameroon,
FZCL,,Banza Lute Airport,Small airport,Banza Lute,Congo (Kinshasa),
FABR,,Barberton Airport,Medium airport,Umjindi (Barberton),South Africa,
FVRB,,Barberton Lodge Airfield,Small airport,,Zimbabwe,
FTTZ,,Bardai Zougra Airport,Small airport,Bardai Zougra,Chad,
HCMD,BSY,Bardera Airport,Small airport,,Somalia,
FABF,,Barkly East Airport,Small airport,Barkly East,South Africa,
DFCB,,Barsalogho Airport,Small airport,Barsalogho,Burkina Faso,
FZBT,KRZ,Basango Mboliasa Airport,Small airport,Kiri,Congo (Kinshasa),
FZEN,BSU,Basankusu Airport,Small airport,Basankusu,Congo (Kinshasa),
FZBW,,Basengele Airport,Small airport,Basengele,Congo (Kinshasa),
FZVR,BAN,Basongo Airport,Small airport,Basongo,Congo (Kinshasa),
GMFM,MEK,Bassatine Airport,Medium airport,Meknes,Morocco,
FGBT,BSG,Bata Airport,Medium airport,Litoral,Equatorial Guinea,
FEGF,BTG,Batangafo Airport,Small airport,Batangafo,Central African Republic,
DFCE,,Batie Airport,Small airport,Batie,Burkina Faso,
DABT,BLJ,Batna Airport,Medium airport,Batna,Algeria,
FKKI,OUR,Batouri Airport,Small airport,Batouri,Cameroon,
FZFF,,Bau Airport,Small airport,Bau,Congo (Kinshasa),
DNBA,,Bauchi Airport,Small airport,Bauchi,Nigeria,
FABX,,Beatrix Airport,Small airport,Virginia,South Africa,
FABW,,Beaufort West Airport,Small airport,Beaufort West,South Africa,
DNBB,,Bebi Airport,Small airport,Bayaluga,Nigeria,
DAOR,CBH,Béchar Boudghene Ben Ali Lotfi Airport,Medium airport,Béchar,Algeria,
HLBD,,Beda (M-3) Airport,Small airport,Beda M3,Libya,
HTBO,,Beho Beho Airstrip,Small airport,Beho Beho,Tanzania,
HABE,BEI,Beica Airport,Small airport,Beica,Ethiopia,
FQBR,BEW,Beira Airport,Medium airport,Beira,Mozambique,
FVBB,,Beit Bridge Airport,Small airport,,Zimbabwe,
FMSL,OVA,Bekily Airport,Small airport,Bekily,Madagascar,
HAPW,PWI,Beles Airport,Small airport,Pawe,Ethiopia,
HCMN,BLW,Beletwene Airport,Small airport,Beledweyne,Somalia,
FABH,,Belfast Aerodrome,Small airport,Belfast,South Africa,
FMML,BMD,Belo sur Tsiribihina Airport,Small airport,Belo sur Tsiribihina,Madagascar,
DBBR,,Bembereke Airport,Small airport,Bembereke,Benin,
FAEL,ELS,Ben Schoeman Airport,Medium airport,East London,South Africa,
GMMB,GMD,Ben Slimane Airport,Small airport,Ben Slimane,Morocco,
FNBG,BUG,Benguela Airport,Medium airport,Benguela,Angola,
FZNP,BNC,Beni Airport,Small airport,Beni,Congo (Kinshasa),
GMMD,BEM,Beni Mellal Airport,Small airport,Beni Mellal,Morocco,
HEBS,,Beni Suef Air Base,Medium airport,Beni Suef,Egypt,
HL54,,Beni Walid Airport,Small airport,,Libya,
FZVO,,Beni-Dibele Airport,Small airport,Beni-Dibele,Congo (Kinshasa),
DNBE,BNI,Benin Airport,Medium airport,Benin,Nigeria,
HLLB,BEN,Benina International Airport,Medium airport,Benghazi,Libya,
FZBE,,Beno Airport,Small airport,Beno,Congo (Kinshasa),
HSBT,,Bentu Airport,Small airport,Bentu,South Sudan,
FZEO,,Beongo Airport,Small airport,Beongo,Congo (Kinshasa),
HCMI,BBO,Berbera Airport,Medium airport,Berbera,Somalia,
FEFT,BBT,Berbérati Airport,Medium airport,Berbérati,Central African Republic,
